benchmark,solver,wallclock time,result
cloud_new/non-incremental/UFDTLIRA/smt-comp-363.smt2,cvc5gg,1.995,UNSATISFIABLE
cloud_new/non-incremental/UFDTLIRA/smt-comp-363.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFLIA/smt-comp-030.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/AUFLIA/smt-comp-030.smt2,vampirecloud,91.282,UNSATISFIABLE
cloud_new/non-incremental/UF/smt-comp-131.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UF/smt-comp-131.smt2,par,TIMEOUT,
cloud_new/non-incremental/UF/smt-comp-131.smt2,vampirecloud,74.22,SATISFIABLE
cloud_new/non-incremental/QF_NIA/smt-comp-286.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_NIA/smt-comp-286.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFDTNIRA/smt-comp-012.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/AUFDTNIRA/smt-comp-012.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFNIRA/smt-comp-032.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/AUFNIRA/smt-comp-032.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFNIRA/smt-comp-032.smt2,vampirecloud,39.096,UNSATISFIABLE
cloud_new/non-incremental/UFDTLIRA/smt-comp-370.smt2,cvc5gg,1.956,UNSATISFIABLE
cloud_new/non-incremental/UFDTLIRA/smt-comp-370.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-408.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/UFNIA/smt-comp-408.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFLIA/smt-comp-160.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFLIA/smt-comp-160.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFLIA/smt-comp-160.smt2,vampirecloud,703.015,UNSATISFIABLE
cloud_new/non-incremental/UFNIA/smt-comp-161.smt2,cvc5gg,2.01,UNSATISFIABLE
cloud_new/non-incremental/UFNIA/smt-comp-161.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-161.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFLIA/smt-comp-182.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/AUFLIA/smt-comp-182.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/QF_NRA/smt-comp-116.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_NRA/smt-comp-116.smt2,par,1237.287,SATISFIABLE
cloud_new/non-incremental/AUFLIA/smt-comp-031.smt2,cvc5gg,2.471,UNSATISFIABLE
cloud_new/non-incremental/AUFLIA/smt-comp-031.smt2,vampirecloud,1.005,UNSATISFIABLE
cloud_new/non-incremental/QF_RDL/smt-comp-300.smt2,cubeandconquer,TIMEOUT,
cloud_new/non-incremental/QF_RDL/smt-comp-300.smt2,portfolio,TIMEOUT,
cloud_new/non-incremental/QF_RDL/smt-comp-300.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFDT/smt-comp-342.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/UFDT/smt-comp-342.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFBV/smt-comp-326.smt2,cvc5gg,65.216,UNSATISFIABLE
cloud_new/non-incremental/UFBV/smt-comp-326.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFLIA/smt-comp-024.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/AUFLIA/smt-comp-024.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFDTLIRA/smt-comp-368.smt2,cvc5gg,1.949,UNSATISFIABLE
cloud_new/non-incremental/UFDTLIRA/smt-comp-368.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFDTNIRA/smt-comp-011.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/AUFDTNIRA/smt-comp-011.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFDTNIRA/smt-comp-378.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/UFDTNIRA/smt-comp-378.smt2,vampirecloud,TIMEOUT,
