benchmark,solver,wallclock time,result
parallel_new/non-incremental/BV/smt-comp-233.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-234.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/BV/smt-comp-234.smt2,parallelpar,658.941,UNSATISFIABLE
parallel_new/non-incremental/BV/smt-comp-235.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/BV/smt-comp-235.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-236.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/BV/smt-comp-236.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-237.smt2,cvc5ggparallel,2.39,UNSATISFIABLE
parallel_new/non-incremental/BV/smt-comp-237.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-238.smt2,cvc5ggparallel,2.502,UNSATISFIABLE
parallel_new/non-incremental/BV/smt-comp-238.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-239.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-239.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-240.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-240.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-048.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/LRA/smt-comp-048.smt2,parallelpar,1.64,UNSATISFIABLE
parallel_new/non-incremental/LRA/smt-comp-048.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-049.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/LRA/smt-comp-049.smt2,parallelpar,0.129,SATISFIABLE
parallel_new/non-incremental/LRA/smt-comp-049.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-050.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/LRA/smt-comp-050.smt2,parallelpar,609.468,SATISFIABLE
parallel_new/non-incremental/LRA/smt-comp-050.smt2,vampireparallel,TIMEOUT,
